"species","decimalLatitude","decimalLongitude","date","year","month","day","original_x","original_y","correction_status","correction_distance_km","correction_x","correction_y","env"
"Rhincodon typus",10.14269,125.11648,19727,2024,1,5,125.11648,10.14269,"original",0,NA,NA,165.158309936523
"Rhincodon typus",-15.50013,145.63711,19739,2024,1,17,145.63711,-15.50013,"original",0,NA,NA,245.410461425781
"Rhincodon typus",10.11895,99.93454,19741,2024,1,19,99.93454,10.11895,"original",0,NA,NA,45.5035438537598
"Rhincodon typus",0.260387811634395,123.282548476454,19753,2024,1,31,123.18909,0.59421,"corrected",38.3502269366306,123.282548476454,0.260387811634395,1414.16186523438
"Rhincodon typus",10.03251,125.09176,19726,2024,1,4,125.09176,10.03251,"original",0,NA,NA,484.540802001953
"Rhincodon typus",10.14935,125.11174,19726,2024,1,4,125.11174,10.14935,"original",0,NA,NA,165.158309936523
"Rhincodon typus",10.07761,125.02856,19726,2024,1,4,125.02856,10.07761,"original",0,NA,NA,484.540802001953
"Rhincodon typus",10.07548,125.08397,19726,2024,1,4,125.08397,10.07548,"original",0,NA,NA,484.540802001953
"Rhincodon typus",-10.7091412742382,105.581717451524,19741,2024,1,19,105.53926,-10.53091,"corrected",20.2545473910094,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19732,2024,1,10,105.61164,-10.51229,"corrected",22.0189232622341,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19724,2024,1,2,105.59072,-10.51306,"corrected",21.7112909234502,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-10.7091412742382,105.581717451524,19734,2024,1,12,105.64166,-10.55877,"corrected",17.8793799352799,105.581717451524,-10.7091412742382,3114.38818359375
"Rhincodon typus",-12.30018,104.33928,19729,2024,1,7,104.33928,-12.30018,"original",0,NA,NA,5049.19287109375
"Rhincodon typus",-10.7091412742382,105.581717451524,19730,2024,1,8,105.56604,-10.502,"corrected",22.9764281919339,105.581717451524,-10.7091412742382,3114.38818359375
