"species"	"y"	"x"	"date"	"year"	"month"	"day"	"quarter"	"season"
"Rhincodon typus"	-31.35993	114.18057	17619	2018	3	29	"Q1"	"Spring"
"Rhincodon typus"	-22.6	113.61	17242	2017	3	17	"Q1"	"Spring"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19742	2024	1	20	"Q1"	"Winter"
"Rhincodon typus"	2.89068	104.06	16501	2015	3	7	"Q1"	"Spring"
"Rhincodon typus"	-2.29517	130.74376	17167	2017	1	1	"Q1"	"Winter"
"Rhincodon typus"	0.260387811634395	123.03324099723	18279	2020	1	18	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17559	2018	1	28	"Q1"	"Winter"
"Rhincodon typus"	-8.21606648199442	118.296398891967	19364	2023	1	7	"Q1"	"Winter"
"Rhincodon typus"	-34.50347	173.58163	18638	2021	1	11	"Q1"	"Winter"
"Rhincodon typus"	27.4349030470915	120.789473684211	17921	2019	1	25	"Q1"	"Winter"
"Rhincodon typus"	-31.54629	111.60043	17592	2018	3	2	"Q1"	"Spring"
"Rhincodon typus"	-22	113.9	17976	2019	3	21	"Q1"	"Spring"
"Rhincodon typus"	-25.6	112.9	17985	2019	3	30	"Q1"	"Spring"
"Rhincodon typus"	9.00515	123.24948	16454	2015	1	19	"Q1"	"Winter"
"Rhincodon typus"	12.4885	123.903	16853	2016	2	22	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17982	2019	3	27	"Q1"	"Spring"
"Rhincodon typus"	-26.6648199445983	113.310249307479	17571	2018	2	9	"Q1"	"Winter"
"Rhincodon typus"	-25.6	112.9	17964	2019	3	9	"Q1"	"Spring"
"Rhincodon typus"	-26.1	113.1	17907	2019	1	11	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19734	2024	1	12	"Q1"	"Winter"
"Rhincodon typus"	-10.4598337950138	105.831024930748	19732	2024	1	10	"Q1"	"Winter"
"Rhincodon typus"	-35.0911	174.38517	19758	2024	2	5	"Q1"	"Winter"
