"species","decimalLatitude","decimalLongitude","date","year","month","day"
"Rhincodon typus",10.14269,125.11648,19727,2024,1,5
"Rhincodon typus",-15.50013,145.63711,19739,2024,1,17
"Rhincodon typus",10.11895,99.93454,19741,2024,1,19
"Rhincodon typus",0.59421,123.18909,19753,2024,1,31
"Rhincodon typus",10.03251,125.09176,19726,2024,1,4
"Rhincodon typus",10.14935,125.11174,19726,2024,1,4
"Rhincodon typus",10.07761,125.02856,19726,2024,1,4
"Rhincodon typus",10.07548,125.08397,19726,2024,1,4
"Rhincodon typus",-10.53091,105.53926,19741,2024,1,19
"Rhincodon typus",-10.51229,105.61164,19732,2024,1,10
"Rhincodon typus",-10.51306,105.59072,19724,2024,1,2
"Rhincodon typus",-10.55877,105.64166,19734,2024,1,12
"Rhincodon typus",-12.30018,104.33928,19729,2024,1,7
"Rhincodon typus",-10.502,105.56604,19730,2024,1,8
"Rhincodon typus",-10.52255,105.54019,19725,2024,1,3
"Rhincodon typus",-10.52672,105.68397,19728,2024,1,6
"Rhincodon typus",-10.52454,105.62912,19733,2024,1,11
"Rhincodon typus",-10.50381,105.6512,19741,2024,1,19
"Rhincodon typus",-10.54559,105.62087,19734,2024,1,12
"Rhincodon typus",-10.49873,105.614,19740,2024,1,18
"Rhincodon typus",-10.49625,105.62534,19732,2024,1,10
"Rhincodon typus",-10.51325,105.61789,19735,2024,1,13
"Rhincodon typus",-10.52234,105.62432,19729,2024,1,7
"Rhincodon typus",-10.53748,105.63247,19753,2024,1,31
"Rhincodon typus",-10.51082,105.6163,19733,2024,1,11
"Rhincodon typus",-10.50642,105.62324,19732,2024,1,10
"Rhincodon typus",-10.5249,105.62839,19726,2024,1,4
"Rhincodon typus",-10.51386,105.55115,19744,2024,1,22
"Rhincodon typus",-10.46784,105.68131,19726,2024,1,4
"Rhincodon typus",-10.54599,105.60981,19752,2024,1,30
"Rhincodon typus",-10.50756,105.70586,19748,2024,1,26
"Rhincodon typus",-10.52212,105.61303,19749,2024,1,27
"Rhincodon typus",-10.51346,105.61981,19727,2024,1,5
"Rhincodon typus",-10.51282,105.61972,19739,2024,1,17
"Rhincodon typus",-10.52033,105.62461,19737,2024,1,15
"Rhincodon typus",-10.52173,105.63518,19727,2024,1,5
"Rhincodon typus",-10.51631,105.60926,19732,2024,1,10
"Rhincodon typus",-10.56598,105.55527,19733,2024,1,11
"Rhincodon typus",-10.50799,105.57663,19746,2024,1,24
"Rhincodon typus",-10.53279,105.63788,19729,2024,1,7
"Rhincodon typus",-10.52182,105.63647,19727,2024,1,5
"Rhincodon typus",-10.53537,105.61072,19751,2024,1,29
"Rhincodon typus",-10.47906,105.5772,19724,2024,1,2
"Rhincodon typus",-10.53292,105.6324,19734,2024,1,12
"Rhincodon typus",-10.46016,105.47976,19723,2024,1,1
"Rhincodon typus",-10.50283,105.55613,19743,2024,1,21
"Rhincodon typus",-11.34084,106.12076,19730,2024,1,8
"Rhincodon typus",-10.52228,105.63388,19731,2024,1,9
"Rhincodon typus",-12.10874,106.40763,19739,2024,1,17
"Rhincodon typus",-10.5462,105.68008,19739,2024,1,17
"Rhincodon typus",-10.52191,105.61961,19738,2024,1,16
"Rhincodon typus",-10.51835,105.5863,19728,2024,1,6
"Rhincodon typus",-10.51405,105.54305,19743,2024,1,21
"Rhincodon typus",-10.5106,105.61871,19726,2024,1,4
"Rhincodon typus",-10.52566,105.63888,19734,2024,1,12
"Rhincodon typus",-10.54916,105.63816,19732,2024,1,10
"Rhincodon typus",-10.51646,105.62287,19739,2024,1,17
"Rhincodon typus",-10.50471,105.56276,19730,2024,1,8
"Rhincodon typus",-10.51357,105.56876,19736,2024,1,14
"Rhincodon typus",-10.5036,105.58263,19742,2024,1,20
"Rhincodon typus",-10.55343,105.63211,19738,2024,1,16
"Rhincodon typus",-10.58761,105.63074,19733,2024,1,11
"Rhincodon typus",-10.5077,105.57168,19723,2024,1,1
"Rhincodon typus",-10.51173,105.61144,19740,2024,1,18
"Rhincodon typus",-10.51104,105.61148,19729,2024,1,7
"Rhincodon typus",-10.52376,105.62743,19735,2024,1,13
"Rhincodon typus",-10.5123,105.60805,19729,2024,1,7
"Rhincodon typus",-10.51752,105.62396,19731,2024,1,9
"Rhincodon typus",-10.47832,105.63452,19749,2024,1,27
"Rhincodon typus",-10.46104,105.61842,19742,2024,1,20
"Rhincodon typus",-10.45187,105.59751,19750,2024,1,28
"Rhincodon typus",-10.52185,105.63132,19732,2024,1,10
"Rhincodon typus",-10.49276,105.62896,19725,2024,1,3
"Rhincodon typus",-10.55797,105.62147,19737,2024,1,15
"Rhincodon typus",-10.5196,105.63197,19750,2024,1,28
"Rhincodon typus",-10.51973,105.62155,19739,2024,1,17
"Rhincodon typus",-10.54158,105.62531,19753,2024,1,31
"Rhincodon typus",-10.51717,105.61272,19731,2024,1,9
"Rhincodon typus",-12.9648,107.43807,19742,2024,1,20
"Rhincodon typus",-10.51653,105.60552,19742,2024,1,20
"Rhincodon typus",-10.51175,105.61545,19742,2024,1,20
"Rhincodon typus",-10.47595,105.62943,19747,2024,1,25
"Rhincodon typus",-10.53481,105.62698,19734,2024,1,12
"Rhincodon typus",-10.47145,105.60314,19750,2024,1,28
"Rhincodon typus",-10.51304,105.60421,19747,2024,1,25
"Rhincodon typus",-10.51087,105.621,19733,2024,1,11
"Rhincodon typus",-12.85037,103.40769,19729,2024,1,7
"Rhincodon typus",-10.52043,105.63497,19741,2024,1,19
"Rhincodon typus",-10.51752,105.58049,19736,2024,1,14
"Rhincodon typus",-10.50587,105.5874,19736,2024,1,14
"Rhincodon typus",-10.53541,105.68617,19739,2024,1,17
"Rhincodon typus",-10.51208,105.63051,19747,2024,1,25
"Rhincodon typus",-13.49543,106.76743,19742,2024,1,20
"Rhincodon typus",-10.50894,105.63816,19728,2024,1,6
"Rhincodon typus",-10.547,105.55182,19733,2024,1,11
"Rhincodon typus",-10.50726,105.60091,19728,2024,1,6
"Rhincodon typus",-10.5177,105.54157,19743,2024,1,21
"Rhincodon typus",-10.5181,105.62366,19747,2024,1,25
"Rhincodon typus",-10.52175,105.63115,19732,2024,1,10
"Rhincodon typus",-11.36723,108.36545,19750,2024,1,28
"Rhincodon typus",-10.52492,105.62591,19738,2024,1,16
"Rhincodon typus",-10.5035,105.64576,19727,2024,1,5
"Rhincodon typus",-10.51467,105.63512,19734,2024,1,12
"Rhincodon typus",-10.50028,105.56447,19730,2024,1,8
"Rhincodon typus",-10.51247,105.60594,19728,2024,1,6
"Rhincodon typus",-10.51642,105.61545,19728,2024,1,6
"Rhincodon typus",-10.51776,105.62101,19746,2024,1,24
"Rhincodon typus",-10.53486,105.60429,19747,2024,1,25
